nombre_sector_code,nro_crianza,nro_pabellon,sexo,tipoConstruccion,densidad_pollos_m2,cluster_kmeans,cluster_hierarchical,cluster_dbscan,ganancia_promedio_gramos
alhue,162,1,HEMBRA,Transversal,13.0,1,0,0,62.61627906976744
alhue,162,3,HEMBRA,Transversal,13.0,1,0,0,61.50326797385621
alhue,162,5,HEMBRA,Transversal,13.0,1,0,0,62.17113632894
alhue,162,7,HEMBRA,Transversal,15.0,1,0,0,54.43957103265453
alhue,162,9,HEMBRA,Transversal,15.0,1,0,0,58.03643256738637
alhue,162,10,HEMBRA,Transversal,15.0,1,0,0,58.521378377095104
alhue,162,11,HEMBRA,Transversal,15.0,1,0,0,58.86025768087214
alhue,162,12,HEMBRA,Transversal,15.0,1,0,0,59.56937684893597
alhue,162,14,HEMBRA,Transversal,13.0,1,0,0,61.45180947643328
alhue,162,15,HEMBRA,Transversal,13.0,1,0,0,63.643749365288926
alhue,163,1,HEMBRA,Transversal,14.5,1,0,0,59.41070806444912
alhue,163,3,HEMBRA,Transversal,12.5,1,0,0,61.61649598289714
alhue,163,4,HEMBRA,Transversal,14.5,1,0,0,59.99769370762268
alhue,163,5,HEMBRA,Transversal,14.5,1,0,0,59.51099187862954
alhue,163,6,HEMBRA,Transversal,14.5,1,0,0,58.48487901923548
alhue,163,7,HEMBRA,Transversal,14.5,1,0,0,58.39793494152046
alhue,163,9,HEMBRA,Transversal,14.5,1,0,0,60.12114750538017
alhue,163,10,HEMBRA,Transversal,14.5,1,0,0,60.53568169618895
alhue,163,11,HEMBRA,Transversal,14.5,1,0,0,59.05892112824248
alhue,163,12,HEMBRA,Transversal,14.5,1,0,0,58.84870300951362
alhue,163,13,HEMBRA,Transversal,14.5,1,0,0,59.91963454594652
alhue,163,14,HEMBRA,Transversal,14.5,1,0,0,58.2739168064817
alhue,163,15,HEMBRA,Transversal,14.5,1,0,0,58.789074235219765
alhue,164,1,MACHO,Transversal,12.5,0,1,1,72.7017543859649
alhue,164,2,MACHO,Transversal,12.5,0,1,1,71.9814567113672
alhue,164,3,MACHO,Transversal,12.5,0,1,1,71.93293934211022
alhue,164,4,MACHO,Transversal,12.5,0,1,1,73.06594046978661
alhue,164,5,MACHO,Transversal,12.5,0,1,1,71.83893017708047
alhue,164,6,MACHO,Transversal,12.5,0,1,1,73.39780291393195
alhue,164,8,MACHO,Transversal,12.5,0,1,1,71.97888159095056
alhue,164,9,MACHO,Transversal,12.5,0,1,1,71.66857424535193
alhue,164,10,MACHO,Transversal,12.5,0,1,1,73.3980278980279
alhue,164,11,MACHO,Transversal,12.5,0,1,1,74.40847777895932
alhue,164,12,MACHO,Transversal,12.5,0,1,1,71.49901933314655
alhue,164,13,MACHO,Transversal,12.5,0,1,1,73.03222009710166
alhue,164,14,MACHO,Transversal,12.5,0,1,1,74.7037037037037
alhue,164,15,MACHO,Transversal,12.5,0,1,1,73.27794528196537
alhue,165,1,MACHO,Transversal,12.5,0,1,1,70.73144007155635
alhue,165,2,MACHO,Transversal,12.5,0,1,1,72.30406043437205
alhue,165,3,MACHO,Transversal,12.5,0,1,1,73.97491407400794
alhue,165,4,MACHO,Transversal,12.5,0,1,1,69.49999999999999
alhue,165,5,MACHO,Transversal,12.5,0,1,1,71.13492027230777
alhue,165,6,MACHO,Transversal,12.5,0,1,1,69.39589927067566
alhue,165,7,MACHO,Transversal,12.5,0,1,1,71.89449251847847
alhue,165,8,MACHO,Transversal,12.5,0,1,1,72.10430153610177
alhue,165,9,MACHO,Transversal,12.5,0,1,1,73.00319563341188
alhue,165,10,MACHO,Transversal,12.5,0,1,1,71.90941285272821
alhue,165,11,MACHO,Transversal,12.5,0,1,1,70.74283872156214
alhue,165,12,MACHO,Transversal,12.5,0,1,1,70.4619766320558
alhue,165,13,MACHO,Transversal,12.5,0,1,1,73.40483573876752
alhue,165,14,MACHO,Transversal,12.5,0,1,1,68.79889512608037
alhue,165,15,MACHO,Transversal,12.5,0,1,1,71.81883615424881
alhue,166,1,MACHO,Transversal,13.0,0,1,1,62.72635439313087
alhue,166,2,MACHO,Transversal,13.0,0,1,1,61.6995813515113
alhue,166,3,MACHO,Transversal,13.0,0,1,1,61.50482462424105
alhue,166,4,MACHO,Transversal,13.0,0,1,1,63.238729020590746
alhue,166,6,MACHO,Transversal,13.0,0,1,1,63.09642110404441
alhue,166,7,MACHO,Transversal,13.0,0,1,1,65.71544537077665
alhue,166,8,MACHO,Transversal,13.0,0,1,1,69.97520003743391
alhue,166,9,MACHO,Transversal,13.0,0,1,1,66.98240314537783
alhue,166,10,MACHO,Transversal,13.0,0,1,1,64.98293116348671
alhue,166,11,MACHO,Transversal,13.0,0,1,1,64.66900239719713
alhue,166,12,MACHO,Transversal,13.0,0,1,1,64.99726726179632
alhue,166,13,MACHO,Transversal,13.0,0,1,1,63.58641098484848
alhue,166,14,MACHO,Transversal,13.0,0,1,1,68.78452776459422
