sexo,densidad_pollos_m2,tipoConstruccion,ganancia_promedio_gramos,sexo_encoded,tipo_encoded,cluster_kmeans,cluster_hierarchical,cluster_dbscan
HEMBRA,13.0,Transversal,62.61627906976744,0,2,6,6,0
HEMBRA,13.0,Transversal,61.50326797385621,0,2,6,6,0
HEMBRA,13.0,Transversal,62.17113632894,0,2,6,6,0
HEMBRA,15.0,Transversal,54.43957103265453,0,2,6,6,0
HEMBRA,15.0,Transversal,58.03643256738637,0,2,6,6,0
HEMBRA,15.0,Transversal,58.521378377095104,0,2,6,6,0
HEMBRA,15.0,Transversal,58.86025768087214,0,2,6,6,0
HEMBRA,15.0,Transversal,59.56937684893597,0,2,6,6,0
HEMBRA,13.0,Transversal,61.45180947643328,0,2,6,6,0
HEMBRA,13.0,Transversal,63.643749365288926,0,2,6,6,0
HEMBRA,14.5,Transversal,59.41070806444912,0,2,6,6,0
HEMBRA,12.5,Transversal,61.61649598289714,0,2,6,6,0
HEMBRA,14.5,Transversal,59.99769370762268,0,2,6,6,0
HEMBRA,14.5,Transversal,59.51099187862954,0,2,6,6,0
HEMBRA,14.5,Transversal,58.48487901923548,0,2,6,6,0
HEMBRA,14.5,Transversal,58.39793494152046,0,2,6,6,0
HEMBRA,14.5,Transversal,60.12114750538017,0,2,6,6,0
HEMBRA,14.5,Transversal,60.53568169618895,0,2,6,6,0
HEMBRA,14.5,Transversal,59.05892112824248,0,2,6,6,0
HEMBRA,14.5,Transversal,58.84870300951362,0,2,6,6,0
HEMBRA,14.5,Transversal,59.91963454594652,0,2,6,6,0
HEMBRA,14.5,Transversal,58.2739168064817,0,2,6,6,0
HEMBRA,14.5,Transversal,58.789074235219765,0,2,6,6,0
MACHO,12.5,Transversal,72.7017543859649,1,2,0,5,1
MACHO,12.5,Transversal,71.9814567113672,1,2,0,5,1
MACHO,12.5,Transversal,71.93293934211022,1,2,0,5,1
MACHO,12.5,Transversal,73.06594046978661,1,2,0,5,1
MACHO,12.5,Transversal,71.83893017708047,1,2,0,5,1
MACHO,12.5,Transversal,73.39780291393195,1,2,0,5,1
MACHO,12.5,Transversal,71.97888159095056,1,2,0,5,1
MACHO,12.5,Transversal,71.66857424535193,1,2,0,5,1
MACHO,12.5,Transversal,73.3980278980279,1,2,0,5,1
MACHO,12.5,Transversal,74.40847777895932,1,2,0,5,1
MACHO,12.5,Transversal,71.49901933314655,1,2,0,5,1
MACHO,12.5,Transversal,73.03222009710166,1,2,0,5,1
MACHO,12.5,Transversal,74.7037037037037,1,2,0,5,1
MACHO,12.5,Transversal,73.27794528196537,1,2,0,5,1
MACHO,12.5,Transversal,70.73144007155635,1,2,0,5,1
MACHO,12.5,Transversal,72.30406043437205,1,2,0,5,1
MACHO,12.5,Transversal,73.97491407400794,1,2,0,5,1
MACHO,12.5,Transversal,69.49999999999999,1,2,0,5,1
MACHO,12.5,Transversal,71.13492027230777,1,2,0,5,1
MACHO,12.5,Transversal,69.39589927067566,1,2,0,5,1
MACHO,12.5,Transversal,71.89449251847847,1,2,0,5,1
MACHO,12.5,Transversal,72.10430153610177,1,2,0,5,1
MACHO,12.5,Transversal,73.00319563341188,1,2,0,5,1
MACHO,12.5,Transversal,71.90941285272821,1,2,0,5,1
MACHO,12.5,Transversal,70.74283872156214,1,2,0,5,1
MACHO,12.5,Transversal,70.4619766320558,1,2,0,5,1
MACHO,12.5,Transversal,73.40483573876752,1,2,0,5,1
MACHO,12.5,Transversal,68.79889512608037,1,2,0,5,1
MACHO,12.5,Transversal,71.81883615424881,1,2,0,5,1
MACHO,13.0,Transversal,62.72635439313087,1,2,0,5,1
MACHO,13.0,Transversal,61.6995813515113,1,2,0,5,1
MACHO,13.0,Transversal,61.50482462424105,1,2,0,5,1
MACHO,13.0,Transversal,63.238729020590746,1,2,0,5,1
MACHO,13.0,Transversal,63.09642110404441,1,2,0,5,1
MACHO,13.0,Transversal,65.71544537077665,1,2,0,5,1
MACHO,13.0,Transversal,69.97520003743391,1,2,0,5,1
MACHO,13.0,Transversal,66.98240314537783,1,2,0,5,1
MACHO,13.0,Transversal,64.98293116348671,1,2,0,5,1
MACHO,13.0,Transversal,64.66900239719713,1,2,0,5,1
MACHO,13.0,Transversal,64.99726726179632,1,2,0,5,1
MACHO,13.0,Transversal,63.58641098484848,1,2,0,5,1
MACHO,13.0,Transversal,68.78452776459422,1,2,0,5,1
MACHO,13.0,Transversal,68.41522738429956,1,2,0,5,1
MACHO,13.0,Transversal,67.52792277038782,1,2,0,5,1
MACHO,13.0,Transversal,70.07431630407754,1,2,0,5,1
MACHO,13.0,Transversal,67.42758579860828,1,2,0,5,1
MACHO,13.0,Transversal,68.24362922301067,1,2,0,5,1
MACHO,13.0,Transversal,69.07959426338907,1,2,0,5,1
MACHO,13.0,Transversal,66.86216418865786,1,2,0,5,1
MACHO,13.0,Transversal,69.28303655107779,1,2,0,5,1
MACHO,13.0,Transversal,67.00782949108309,1,2,0,5,1
MACHO,13.0,Transversal,69.04847268469948,1,2,0,5,1
MACHO,13.0,Transversal,67.90278924671988,1,2,0,5,1
HEMBRA,15.0,Tradicional,61.71564482029599,0,1,1,0,2
HEMBRA,15.0,Tradicional,58.27257977285019,0,1,1,0,2
HEMBRA,15.0,Tradicional,59.20173066522444,0,1,1,0,2
HEMBRA,15.0,Tradicional,58.08180382332116,0,1,1,0,2
HEMBRA,13.0,Tradicional,62.697019325253855,0,1,1,0,2
HEMBRA,13.0,Tradicional,60.05561172901922,0,1,1,0,2
HEMBRA,15.0,Tradicional,58.288915294517054,0,1,1,0,2
HEMBRA,15.0,Tradicional,59.76089683033541,0,1,1,0,2
HEMBRA,15.0,Tradicional,59.37434713288251,0,1,1,0,2
HEMBRA,15.0,Tradicional,58.28583906540016,0,1,1,0,2
HEMBRA,15.0,Tradicional,60.58392927529703,0,1,1,0,2
HEMBRA,15.0,Tradicional,62.82414781777637,0,1,1,0,2
HEMBRA,15.0,Tradicional,64.65906525174984,0,1,1,0,2
HEMBRA,15.0,Tradicional,61.65366691194506,0,1,1,0,2
HEMBRA,15.0,Tradicional,58.09719464037069,0,1,1,0,2
HEMBRA,15.0,Tradicional,58.96070778037991,0,1,1,0,2
HEMBRA,15.0,Tradicional,59.42448001237146,0,1,1,0,2
HEMBRA,13.0,Tradicional,67.67512394284047,0,1,1,0,2
HEMBRA,15.0,Tradicional,61.3432291183474,0,1,1,0,2
HEMBRA,15.0,Tradicional,58.887862458301264,0,1,1,0,2
HEMBRA,15.0,Tradicional,61.37695663330768,0,1,1,0,2
HEMBRA,15.0,Tradicional,60.44596999745741,0,1,1,0,2
HEMBRA,15.0,Tradicional,64.20095453403668,0,1,1,0,2
HEMBRA,15.0,Tradicional,61.9293695131684,0,1,1,0,2
HEMBRA,15.0,Tradicional,61.41156126482213,0,1,1,0,2
HEMBRA,13.0,Tradicional,67.23525069558798,0,1,1,0,2
HEMBRA,13.0,Tradicional,66.96797524327317,0,1,1,0,2
HEMBRA,14.5,Tradicional,58.26138964010817,0,1,1,0,2
HEMBRA,14.5,Tradicional,56.14653010033445,0,1,1,0,2
HEMBRA,14.5,Tradicional,56.07567678424938,0,1,1,0,2
HEMBRA,14.5,Tradicional,53.65972222222224,0,1,1,0,2
HEMBRA,14.5,Tradicional,57.3743045538842,0,1,1,0,2
HEMBRA,14.5,Tradicional,57.2719017094017,0,1,1,0,2
HEMBRA,14.5,Tradicional,57.45283018867924,0,1,1,0,2
HEMBRA,14.5,Tradicional,57.528973950026575,0,1,1,0,2
HEMBRA,14.5,Tradicional,54.52433862433863,0,1,1,0,2
HEMBRA,14.5,Tradicional,56.13695710098588,0,1,1,0,2
HEMBRA,14.5,Tradicional,54.729035639413,0,1,1,0,2
HEMBRA,14.5,Tradicional,57.68774613095944,0,1,1,0,2
HEMBRA,14.5,Tradicional,55.61848958333333,0,1,1,0,2
HEMBRA,14.5,Tradicional,53.80667578036,0,1,1,0,2
HEMBRA,14.5,Tradicional,56.13145099876984,0,1,1,0,2
HEMBRA,14.5,Tradicional,54.53981502368599,0,1,1,0,2
HEMBRA,14.5,Tradicional,56.44093209220966,0,1,1,0,2
HEMBRA,14.5,Tradicional,57.3885949441505,0,1,1,0,2
HEMBRA,14.5,Tradicional,55.95901145268234,0,1,1,0,2
HEMBRA,14.5,Tradicional,61.36020151133501,0,1,1,0,2
HEMBRA,14.5,Tradicional,60.22609176340519,0,1,1,0,2
HEMBRA,14.5,Tradicional,62.01626016260162,0,1,1,0,2
HEMBRA,14.5,Tradicional,59.05978705978707,0,1,1,0,2
HEMBRA,14.5,Tradicional,60.96000000000001,0,1,1,0,2
HEMBRA,15.0,Tradicional,62.9114375780646,0,1,1,0,2
HEMBRA,15.0,Tradicional,57.987543568938925,0,1,1,0,2
