nombre_sector,nombre_sector_code,nro_crianza,Pabellón,Cantidad Total,Fecha Guía Inicio,Fecha Guía Fin,Peso Promedio,sexo,mes_carga,anio_carga,edad_actual,edad_proyeccion_dias,edad_criterio_proyeccion,Edad,kilos_recibidos_percapita,tipoConstruccion,densidad_pollos_m2,nombre,zonaGeografica,ganancia_proyectada
CHAYACO 1,chayaco 1,136,1,12500,2025-10-18,2025-10-18,48.0,MACHO,10,2025,33,30,33.0,30,2.3214733498648688,Tradicional,12.5,chayaco 1,COSTA,66.64389873091542
CHAYACO 1,chayaco 1,136,2,12500,2025-10-18,2025-10-18,50.9,MACHO,10,2025,33,30,33.0,30,2.3214733498648688,Tradicional,12.5,chayaco 1,COSTA,66.64389873091542
CHAYACO 1,chayaco 1,136,3,12500,2025-10-18,2025-10-18,38.0,MACHO,10,2025,33,30,33.0,30,2.3214733498648688,Tradicional,12.5,chayaco 1,COSTA,66.64389873091542
CHAYACO 1,chayaco 1,136,4,12500,2025-10-18,2025-10-18,38.0,MACHO,10,2025,33,30,33.0,30,2.3214733498648688,Tradicional,12.5,chayaco 1,COSTA,66.64389873091542
CHAYACO 1,chayaco 1,136,5,12500,2025-10-18,2025-10-18,38.128,MACHO,10,2025,33,30,33.0,30,2.3214733498648688,Tradicional,12.5,chayaco 1,COSTA,66.64389873091542
CHAYACO 1,chayaco 1,136,6,12500,2025-10-18,2025-10-18,47.676,MACHO,10,2025,33,30,33.0,30,2.3214733498648688,Tradicional,12.5,chayaco 1,COSTA,66.64389873091542
CHAYACO 1,chayaco 1,136,7,12500,2025-10-18,2025-10-18,44.0445592,MACHO,10,2025,33,30,33.0,30,2.3214733498648688,Tradicional,12.5,chayaco 1,COSTA,66.64389873091542
CHAYACO 1,chayaco 1,136,8,12500,2025-10-18,2025-10-18,49.196,MACHO,10,2025,33,30,33.0,30,2.3214733498648688,Tradicional,12.5,chayaco 1,COSTA,66.64389873091542
CHAYACO 1,chayaco 1,136,9,12500,2025-10-18,2025-10-18,47.208,MACHO,10,2025,33,30,33.0,30,2.3214733498648688,Tradicional,12.5,chayaco 1,COSTA,66.64389873091542
CHAYACO 2,chayaco 2,136,1,12500,2025-10-18,2025-10-18,49.352,MACHO,10,2025,33,30,32.111111111111114,30,2.332798385987436,Tradicional,12.5,chayaco 2,COSTA,66.67513022963368
CHAYACO 2,chayaco 2,136,2,12500,2025-10-18,2025-10-18,52.592,MACHO,10,2025,33,30,32.111111111111114,30,2.332798385987436,Tradicional,12.5,chayaco 2,COSTA,66.67513022963368
CHAYACO 2,chayaco 2,136,6,12500,2025-10-18,2025-10-18,49.368,MACHO,10,2025,33,30,32.111111111111114,30,2.332798385987436,Tradicional,12.5,chayaco 2,COSTA,66.67513022963368
CHAYACO 2,chayaco 2,136,8,12500,2025-10-18,2025-10-18,50.08,MACHO,10,2025,33,30,32.111111111111114,30,2.332798385987436,Tradicional,12.5,chayaco 2,COSTA,66.67513022963368
CHAYACO 2,chayaco 2,136,9,12500,2025-10-18,2025-10-18,50.0,MACHO,10,2025,33,30,32.111111111111114,30,2.332798385987436,Tradicional,12.5,chayaco 2,COSTA,66.67513022963368
DEMETRIO,demetrio,138,6,36000,2025-10-09,2025-10-10,50.10833333333333,MACHO,10,2025,41,30,41.86666666666667,30,3.1429609584915044,Black Out,15.0,demetrio,COSTA,72.7469516270401
DEMETRIO,demetrio,138,7,36000,2025-10-09,2025-10-10,50.09027777777778,MACHO,10,2025,41,30,41.86666666666667,30,3.1429609584915044,Black Out,15.0,demetrio,COSTA,72.7469516270401
DEMETRIO,demetrio,138,15,36000,2025-10-08,2025-10-10,46.82414,MACHO,10,2025,41,30,41.86666666666667,30,3.1429609584915044,Black Out,15.0,demetrio,COSTA,72.7469516270401
DON CHARLES,don charles,223,18,43200,2025-10-10,2025-10-10,42.36342592592592,HEMBRA,10,2025,41,30,42.42857142857143,30,2.931157696850797,Black Out,18.0,don charles,RANCAGUA,64.83172414850816
